package,total_downloads
FarmSelect,3858
FarmTest,4094
farver,1143998
FASeg,3788
fAsianOptions,22142
fasjem,4044
fAssets,23993
fasstr,0
fast,6620
fasta,4118
fastAdaboost,17250
FastBandChol,4439
fastclime,7051
fastcluster,90699
fastcmh,4040
fastcmprsk,1156
fastcox,5942
fastdigest,16859
fastDummies,79876
fasteraster,4415
fasterElasticNet,3240
fasterize,25520
FastGaSP,3945
fastGHQuad,18311
fastglm,10842
FastGP,4875
fastGraph,6946
FastHCS,5125
fastHICA,5109
fastICA,403620
FastImputation,5715
fastJT,4506
FastKM,4396
FastKNN,6131
fastLink,5796
fastlogranktest,560
FastLZeroSpikeInference,3422
fastM,5099
fastmap,1295137
fastmaRching,3666
fastmatch,472974
fastmit,22
fastNaiveBayes,4613
fastnet,3951
FastPCS,6932
fastpos,268
fastpseudo,5026
fastqcr,9136
fastR,24744
fastR2,4582
FastRCS,5593
fastrtext,8069
FastRWeb,5173
FastSF,3945
fastshap,418
fastSOM,5784
fastStat,487
fastTextR,5469
fasttime,54154
fat2Lpoly,5215
FateID,7975
FatTailsR,6844
fauxpas,15714
favnums,4459
FAwR,6523
fbar,4621
fBasics,324586
fbati,6012
FBFsearch,4879
FBN,5852
fBonds,8023
fbRads,6546
fbRanks,5267
fbroc,5868
fc,3491
fcaR,0
fcd,5185
fCertificates,5700
FCGR,4281
fChange,4646
fclust,14648
fcm,4413
FCMapper,5266
fCopulae,23493
fcr,3548
fcros,7165
FCSlib,1354
fcuk,4240
FD,46920
fda,116306
fda.usc,32777
fdaACF,0
fdadensity,4080
fdakma,6081
fdaMixed,5659
fdANOVA,4394
fdapace,8154
fdaPDE,4813
fdasrvf,8512
fdatest,5575
FDboost,21117
fdcov,4504
FDGcopulas,4937
fdistr,235
fdm2id,1925
fDMA,6729
fdq,3878
fdrci,5690
fdrDiscreteNull,4662
FDRreg,4998
FDRsampsize,4696
FDRSeg,4047
fdrtool,143073
fds,6160
fdth,39990
FeaLect,6170
feasts,10605
feather,238385
feature,10255
featurefinder,3684
FeatureHashing,6439
features,8435
featuretoolsR,1536
featurizer,4042
febr,4619
fechner,6296
FedData,10444
federalregister,5024
fedregs,4445
fedreporter,3827
FeedbackTS,6399
feedeR,5340
feisr,7036
felp,1842
fence,3803
FENmlm,9292
FEprovideR,2486
fergm,4342
fermicatsR,3838
fetchR,4503
fExoticOptions,16717
fExpressCertificates,6409
fExtremes,16751
ff,209302
ffbase,128015
FFD,5872
FField,8990
ffmanova,7342
ffmetadata,3520
ffstream,3545
FFTrees,7685
fftw,38275
fftwtools,65423
fgac,7600
FGalgorithm,5313
fGarch,147645
fgdr,988
fgeo,2507
fgeo.analyze,2759
fgeo.plot,2869
fgeo.tool,3614
fgeo.x,3094
fgm,693
Fgmutils,5360
fgof,5143
fgpt,4267
FGSG,5207
fgui,9685
FHDI,5689
fhidata,3051
FHtest,6630
FI,5357
FIACH,4474
fiberLD,3231
fic,2444
fICA,6060
fieldRS,4230
fields,424504
FieldSim,7120
fiery,10302
filehash,133911
filehashSQLite,6512
filelock,31310
filematrix,6423
filenamer,5732
files,4403
filesstrings,52070
FILEST,3420
filling,3926
fillr,1479
fImport,18211
finalfit,18317
FinAna,4789
FinancialInstrument,14609
FinancialMath,12257
FinAsym,6669
finbif,400
FinCal,16768
finch,6159
FinCovRegularization,5485
FindAllRoots,5303
FindIt,6540
findpython,24299
findR,5366
findviews,4159
FinePop,5250
fingerprint,14469
fingerPro,3895
fingertipscharts,7950
fingertipsR,16782
finiteruinprob,5070
finreportr,7880
FinTS,23051
fipe,1508
FiRE,3377
firebehavioR,3891
FiSh,333
fishdata,3539
FisherEM,6278
fisheyeR,5503
FisHiCal,4927
fishkirkko2015,4024
fishmethods,11229
fishMod,7258
fishmove,6022
FishResp,5450
fishtree,4853
fishualize,827
FisPro,1854
FIT,5795
fit.models,110818
fit4NM,4606
FitAR,23812
FitARMA,15639
fitbitScraper,6357
fitdc,4267
fitdistrplus,299622
fitDRC,5565
fitHeavyTail,409
fitODBOD,3675
fitplc,4870
fitPoly,3611
FITSio,8209
fitteR,4323
fitTetra,4919
FitUltD,2571
fitur,4884
fitzRoy,466
fivethirtyeight,28101
FixedPoint,6602
fixedTimeEvents,3801
fixerapi,3829
fixest,2922
FixSeqMTP,4095
fizzbuzzR,3975
FKF,9317
FKSUM,412
flacco,5401
flagr,2507
flam,5311
FLAME,3537
flamingos,1328
flan,3037
flare,27456
flars,3999
flashClust,452988
flashlight,2242
flatr,3331
flatxml,5406
flexclust,84860
flexdashboard,123009
FlexDir,4172
FlexGAM,3411
flexmet,3433
flexmix,1151653
flexmixNL,1498
FlexParamCurve,6168
flexPM,4706
flexrsurv,5903
FlexScan,3370
flexsurv,47397
flexsurvcure,5588
flextable,132685
FlickrAPI,3392
flifo,4153
flightplanning,1632
FLightR,5773
flip,7603
flippant,3864
flipscores,4039
FLLat,5954
float,16854
flobr,3994
flock,23253
flood,3908
FloodMapper,3456
flora,5390
FlowCAr,2415
flowDiv,3876
flower,4940
flowfield,5014
flowr,5246
FlowRegEnvCost,3913
flows,4759
FlowScreen,6671
FLR,5334
flsa,10224
FLSSS,8890
FluMoDL,2172
fluoSurv,3360
Flury,7378
fluspect,3395
flux,9133
fluxweb,3812
flying,0
flyio,2790
fma,191157
FMAdist,3312
fmbasics,4060
FMC,4585
fmcmc,1418
fmdates,6171
FME,22635
FMP,4663
FMradio,2379
fmri,10391
fmriqa,3920
fmrs,4244
fmsb,94777
FMsmsnReg,4406
FMStable,22479
fMultivar,28389
FNN,513028
fNonlinear,9325
foba,9050
FOCI,325
focusedMDS,3762
foghorn,163181
foieGras,3304
folderfun,3787
fontBitstreamVera,158178
fontcm,25112
fontHind,4012
fontLiberation,157921
fontMPlus,4041
fontquiver,196635
foodingraph,920
foodweb,5273
foolbox,3951
fOptions,43434
forams,5837
forcats,3452029
foreach,1820931
ForeCA,12029
forecast,2058621
ForecastComb,6851
ForecastCombinations,6334
ForecastFramework,2947
forecastHybrid,34562
forecastML,1503
forecastSNSTS,4874
forecTheta,12741
foreign,1068371
forensic,5290
forensim,7278
foreSIGHT,4110
forestChange,5358
forestControl,4955
forestError,0
ForestFit,2086
forestFloor,9682
ForestGapR,4109
forestHES,3495
forestinventory,4455
forestmangr,4334
forestmodel,7950
forestplot,38908
forestRK,1455
forestSAS,3288
ForestTools,5404
foretell,3364
forge,976676
ForImp,6201
ForIT,5009
FormalSeries,5249
formatR,801489
formattable,165184
Formula,1943602
formula.tools,37725
formulaic,2018
fortunes,128585
forward,6053
forwards,5478
ForwardSearch,4870
fossil,16290
FossilSim,4300
foto,3168
FourgameteP,3530
fourierin,5798
fourPNO,7197
FourScores,5651
fpa,3876
fpc,1150334
fpca,7787
FPCA2D,4150
FPCA3D,3605
fpCompare,17401
FPDclustering,6802
fpeek,7209
fpest,3947
fplot,660
fpmoutliers,3784
fpop,1620
fPortfolio,29154
fpow,6360
fpp,151036
fpp2,88340
fpp3,2250
fptdApprox,6105
FPV,3795
fracdiff,1192548
fracprolif,5464
fractal,13757
fractaldim,8441
FractalParameterEstimation,5674
fractalrock,6530
FRACTION,6612
fractional,5018
fragilityindex,4116
Fragman,5890
frailtyEM,7830
frailtyHL,5647
frailtypack,20799
frailtySurv,6955
frair,5365
frambgrowth,3579
Frames2,5717
franc,5122
FRAPO,9940
frapplot,3493
frbs,26248
FRCC,5146
FrechForest,260
fredr,10555
freealg,869
freegroup,3910
freeknotsplines,5844
FreeSortR,5163
freestats,5068
freesurfer,4496
freesurferformats,3604
freetypeharfbuzz,173649
fRegression,9727
FRegSigCom,3651
FREQ,6176
freqdist,5351
freqdom,5876
freqdom.fda,4834
freqparcoord,6053
FreqProf,4464
frequency,8291
frequencyConnectedness,5256
frequentdirections,2330
FRESA.CAD,5123
fresh,723
FrF2,66360
FrF2.catlg128,25359
FRK,7030
fRLR,3491
frm,7933
frmhet,5085
frmpd,5108
frmqa,6991
fromo,5407
frontier,14386
frontiles,5292
frost,2667
frostr,1915
frt,5235
fs,3810309
FSA,74769
FSAdata,12162
fsbrain,601
fscaret,6902
fsdaR,4940
FSelector,55129
FSelectorRcpp,19922
fsia,4934
FSinR,232
FSInteract,4154
fslr,8805
FSMUMI,3268
fso,8299
fSRM,5799
fssemR,3547
fst,94380
Fstability,3544
fsthet,3989
FSTpackage,3876
ftDK,3759
FTICRMS,5742
ftnonpar,6499
fTrading,27762
fts,49973
ftsa,29378
ftsspec,4353
fuel,534
fueleconomy,10010
fugeR,4750
fugue,3261
fullfact,4415
fulltext,9381
fun,13738
funbarRF,3572
funchir,4164
FunChisq,10695
FunCluster,6584
FuncMap,5889
functional,138434
FunctionalNetworks,3879
functools,4503
funcy,5126
funData,7040
funFEM,6032
fungible,10326
funHDDC,6732
funique,3301
fUnitRoots,45252
funLBM,3670
funModeling,42100
funneljoin,265
FunnelPlotR,2145
funnelR,3980
funprog,627
funr,5797
funrar,8379
funreg,4833
FUNTA,4365
funtimes,9509
furniture,10377
furrr,144814
fusedest,1356
fuser,3551
fusionclust,3498
FusionLearn,3895
futile.any,6518
futile.logger,481451
futile.matrix,8071
futile.options,459249
futile.paradigm,6281
futility,5626
future,500272
future.apply,148357
future.BatchJobs,8918
future.batchtools,22106
future.callr,8095
futureheatwaves,4386
fuzzr,4412
Fuzzy.p.value,4324
FuzzyAHP,5259
fuzzyFDR,6824
fuzzyforest,12903
fuzzyjoin,35093
FuzzyLP,4625
FuzzyMCDM,4118
FuzzyNumbers,10879
FuzzyNumbers.Ext.2,4366
FuzzyR,5398
fuzzyRankTests,6528
fuzzyreg,5892
fuzzySim,4376
FuzzyStatProb,6525
FuzzyStatTra,4064
FuzzyToolkitUoN,5488
fuzzywuzzyR,8742
FWDselect,5892
fwi.fbp,5527
fwsim,6052
fxregime,8199
fxtract,3446
fy,2223
g.data,10639
G1DBN,6238
g2f,4037
G2Sd,6626
g3viz,8412
GA,68674
GAabbreviate,5200
GABi,5079
GACFF,276
GAD,8725
GADAG,4179
GADGET,0
GaDiFPT,4998
GADMTools,8597
gafit,4709
gaiah,4020
gainML,1299
gains,17200
GAIPE,5284
galgo,3378
galts,5603
gam,350671
gama,3231
gamair,29806
gambin,7611
GAMBoost,21808
gamboostLSS,28128
gamboostMSM,5466
gamCopula,4955
GAMens,5128
gameofthrones,23899
games,7100
gamesGA,3858
GameTheory,6250
GameTheoryAllocation,5404
gamlr,11726
gamlss,94021
gamlss.add,8635
gamlss.cens,7943
gamlss.countKinf,3481
gamlss.data,86334
gamlss.demo,6269
gamlss.dist,105018
gamlss.inf,3214
gamlss.mx,8076
gamlss.nl,6769
gamlss.spatial,6063
gamlss.tr,8729
gamlss.util,6778
gamlssbssn,3740
gamm4,81531
gamm4.test,3541
gammSlice,5674
gamreg,4056
gamRR,6986
gamsel,5022
ganalytics,5701
GANPA,5648
GANPAdata,4919
gap,38969
gap.datasets,5401
GAparsimony,4221
gapfill,5470
gapmap,5268
gapminder,289519
gargle,159108
garray,3656
GAS,9253
gaselect,5518
gasfluxes,5719
gastempt,3796
gaston,7757
gatepoints,4752
GauPro,5566
gausscov,2155
gaussDiff,6181
gaussfacts,4410
GaussianHMM1d,2931
gaussquad,7476
gazepath,5120
gb,6165
GB2,6731
GB2group,4001
gbfs,4752
GBJ,4610
gbm,321120
gbm2sas,4799
gbp,4928
gbRd,336736
gbs2ploidy,3871
gbts,3912
gbutils,7610
GCAI.bias,4982
GCalcium,2806
GCalignR,4441
gCat,4112
gcbd,3438
GCD,6497
gcdnet,5808
gcerisk,5463
gcForest,3616
gcite,4568
gcKrig,4471
gclus,291444
gcmr,6777
gconcord,5241
gcookbook,58284
GCPM,6661
GD,4236
GDAdata,5745
gdalcubes,3265
gdalUtilities,2317
gdalUtils,150159
gdata,1752919
GDAtools,6944
gDefrag,3614
GDELTtools,5404
gdimap,5390
GDINA,24973
gdistance,28383
gdm,6576
gdmp,4662
gdns,4419
gdpc,4991
gds,4551
gdtools,591066
gdxdt,378
gear,5460
GeDS,3929
gee,75546
gee4,4107
GEEaSPU,4172
geecure,3824
geeM,17053
GEEmediate,4134
geepack,123840
geesmv,5169
geex,3916
geigen,15354
geiger,51606
GEint,5285
gelnet,5423
gemlog,4745
gemma2,1097
gems,6139
gemtc,11101
gen2stage,1783
gen5helper,428
genalg,33563
GenAlgo,4475
genasis,4711
genBaRcode,3943
genBart,3498
GenBinomApps,7694
gencve,4092
gendata,5244
gender,56173
genderBR,4603
gendist,5468
GENEAclassify,5364
GENEAread,8848
GENEAsphere,1057
GeneBook,1323
GeneClusterNet,3977
GeneCycle,10487
GeneF,5748
geneHummus,2869
geneListPie,5003
genemodel,4221
GeneNet,16850
geneNetBP,4026
genepi,5362
genepop,7479
generalCorr,6980
generalhoslem,12771
GeneralisedCovarianceMeasure,1446
GeneralizedHyperbolic,126542
GeneralizedUmatrix,6116
GeneralOaxaca,4298
generator,4920
generics,3121040
geneSignatureFinder,5008
GenEst,6555
genesysr,3847
genetics,45715
GeneticSubsetter,5102
GeNetIt,5146
GenForImp,5231
genie,5240
genio,2255
genius,8092
geniusr,4954
GenKern,10197
genlasso,4729
GENLIB,4898
genlogis,3925
GENMETA,3344
geno2proteo,3857
genodds,1231
genogeographer,4238
genomeplot,4175
genomic.autocorr,3739
GenomicMating,4330
genomicper,4239
GenomicTools,5828
GenomicTools.fileHandler,5917
genoPlotR,10133
GenOrd,8017
GenoScan,3353
genotypeR,3943
genpathmox,4630
genpwr,2605
genridge,6340
GenSA,54093
gensemble,5677
gensphere,4200
genSurv,5600
gensvm,3916
GenTag,2040
genvar,970
GenWin,4590
geoaxe,22992
geoBayes,7414
GeoBoxplot,4653
geobr,3095
geoCount,4535
GeoDE,4500
geodetector,3869
geodist,8703
geoelectrics,4066
geofacet,8398
geofd,4927
geoGAM,3679
geogrid,9027
geohashTools,2449
geojson,75620
geojsonio,90718
geojsonlint,41213
geojsonR,13215
geojsonsf,15539
geoknife,11564
GeoLight,7282
GEOmap,20350
geomapdata,13477
GeomComb,4483
geomedb,5114
geomerge,3994
geometa,8372
geometr,581
geometry,266864
geomnet,8352
GeoMongo,3941
geomorph,28751
geonames,41275
geonapi,5797
geonetwork,2753
geoops,3813
geoparser,5509
geophys,5574
geoR,76081
GeoRange,4015
geoRglm,30723
georob,10420
geosample,3326
geosapi,7145
geoscale,8511
geosed,1086
geospacom,6559
geospark,1694
geoSpectral,3786
geosphere,346257
geospt,7499
geosptdb,4405
geostatsp,12336
GeoTcgaData,990
geotech,4539
geotools,5062
geotoolsR,4696
geotopbricks,5857
geoviz,3059
geozoning,3386
geozoo,7279
gepaf,9289
GERGM,25735
germanpolls,3313
GerminaR,5485
germinationmetrics,4662
gert,3305
gesca,4777
GESE,4331
gestalt,4605
gestate,2314
GESTr,4970
GET,2245
GetBCBData,2718
getCRUCLdata,7940
GetDFPData,9016
GetHFData,8858
gethr,3279
getlandsat,4352
GetLattesData,5735
getMet,4487
getmstatistic,4610
getopt,116773
GetoptLong,65660
getPass,142287
getProxy,3463
GetQuandlData,712
GetR,5153
gets,16378
getspres,1199
getTBinR,5950
GetTDData,14502
gettz,6500
GEVcdn,6388
GEVStableGarch,6831
GExMap,5265
gexp,2424
GFA,4624
gfcanalysis,5878
GFD,5086
GFE,3457
gfer,4429
GFGM.copula,4311
gfmR,3881
GFORCE,3911
gfoRmula,1722
gg.gap,1048
ggallin,4134
ggalluvial,25324
GGally,656488
ggalt,42040
ggamma,356
gganimate,118524
ggasym,3493
ggbeeswarm,74046
ggBubbles,1246
ggbuildr,3826
ggChernoff,4016
ggconf,3858
ggcorrplot,115186
ggdag,12147
ggdark,5108
ggdemetra,3549
ggdendro,219747
ggdistribute,3609
ggdmc,5207
gge,7124
GGEBiplotGUI,8867
GGEBiplots,5288
ggedit,8822
ggeffects,145798
ggenealogy,5428
ggetho,4657
ggExtra,99142
ggfan,4604
ggfittext,38326
ggfocus,3782
ggforce,392489
ggformula,161523
ggfortify,297965
gggenes,5456
ggghost,4374
gggibbous,285
ggguitar,3955
gghalfnorm,4120
gghalves,1295
gghighlight,15490
ggimage,26602
gginference,4359
gginnards,5728
GGIR,17499
ggiraph,57472
ggiraphExtra,31244
ggjoy,10778
gglasso,10737
gglogo,4769
ggloop,4239
gglorenz,4001
ggm,123471
ggmap,647427
ggmcmc,23823
GGMM,3609
ggmosaic,56339
ggmr,1082
GGMridge,4568
ggmsa,928
GGMselect,6463
ggmuller,7512
ggnetwork,17263
ggnewscale,6739
ggnormalviolin,3813
ggpage,4319
ggparallel,7016
ggparliament,3855
ggparty,2331
ggperiodic,3785
ggplot.multistats,5025
ggplot2,9889742
ggplot2movies,158473
ggplotAssist,9102
ggplotgui,11356
ggplotify,117993
ggplotlyExtra,648
ggpmisc,42316
ggPMX,3370
ggpointdensity,2274
ggpol,10781
ggpolypath,6475
ggpubr,1343434
ggpval,6629
ggQC,7434
ggQQunif,3573
ggquickeda,6461
ggquiver,4972
ggRandomForests,12634
ggraph,250330
ggraptR,16707
ggrasp,3318
ggrepel,1884962
ggResidpanel,2563
ggridges,385452
ggROC,5753
ggroups,2989
ggsci,1022128
ggseas,33709
ggseqlogo,10925
ggsignif,1103732
ggsn,21380
ggsoccer,3218
ggsolvencyii,3280
ggsom,3447
ggspatial,31124
ggspectra,8543
ggstance,202920
ggstatsplot,29184
ggswissmaps,5480
ggtern,22529
ggThemeAssist,26380
ggthemes,665546
ggTimeSeries,6632
GGUM,4120
ggupset,3574
ggVennDiagram,1285
ggversa,4013
ggvis,160173
ggvoronoi,7474
ggwordcloud,11200
gh,2153607
Ghat,1306
ghibli,5187
GHQp,4938
GHS,3192
ghyp,12723
gibble,6718
gibbs.met,5598
GibbsACOV,5145
Gifi,5763
gifski,136685
gifti,4717
GIFTr,637
GIGrvg,9859
GillespieSSA,7873
GillespieSSA2,1679
gim,3601
gimme,11434
gimmeTools,3473
gimms,6231
GiNA,4253
GiniDistance,1697
GiniWegNeg,4735
gIPFrm,5230
giphyr,5525
GiRaF,3912
GISTools,33866
gistr,40021
git2r,2469252
git2rdata,2146
gitgadget,5680
githubinstall,38171
gitignore,2077
gitlabr,9747
gitlink,1616
givitiR,4693
gjam,7083
GJRM,7204
gk,4537
GK2011,4102
gkmSVM,4036
glacierSMBM,3864
glamlasso,4639
glancedata,2187
glarma,6908
glassdoor,4022
glasso,143722
glassoFast,7050
glba,4748
glcm,6698
gld,27098
GLDEX,10148
GLDreg,5473
gldrm,3894
GLIDE,4134
glinternet,9549
gllm,6475
gllvm,6544
glm.deploy,3919
glm.predict,7664
glm2,33464
glmaag,1881
GLMaSPU,3880
glmbb,5536
glmBfp,3745
glmc,6414
glmdisc,3101
glmdm,5683
glmertree,17711
glmgraph,4925
glmlep,5425
glmm,13839
GLMMadaptive,16981
glmmboot,4244
glmmEP,4634
glmmfields,5197
glmmLasso,9261
glmmML,43050
GLMMRR,5053
glmmsr,7563
glmmTMB,158598
glmnet,737619
glmnetcr,8616
glmnetUtils,39300
GLMpack,1786
glmpath,9473
glmpathcr,5682
glmpca,1418
GLMsData,5890
GlmSimulatoR,1445
glmtlp,3369
glmtree,975
glmulti,27658
glmvsd,5043
glmx,9957
globalboosttest,5497
GlobalDeviance,5470
GlobalFit,4702
globalGSA,5040
GlobalOptions,135470
globalOptTests,6142
globals,411544
globe,5096
glogis,7165
glpkAPI,13202
glrt,5217
gLRTH,3617
GLSME,6255
glue,8337099
gluedown,563
gluvarpro,2630
gma,3977
GMAC,4184
gmailr,146538
GmAMisc,3907
gmapsdistance,11229
gmat,3841
GMCM,8579
gMCP,9638
gmDatabase,4085
GMDH,7153
GMDH2,4495
GMDHreg,3127
Gmedian,16001
gmediation,3808
gmeta,4656
gmfd,3691
Gmisc,15683
GMKMcharlie,960
gmm,76236
GMMAT,4803
GMMBoost,7317
gmnl,13409
gmodels,570736
gMOIP,4074
gmp,273748
GMSE,4460
GMSimpute,2816
gmt,9054
gmvarkit,5225
gMWT,6078
GNAR,5142
GNE,5029
gnFit,3981
gnlm,6237
gnm,70265
gnmf,5111
gnn,988
gnorm,3569
gnumeric,7154
goeveg,8070
gofastr,5036
gofCopula,5082
goffda,1052
GoFKernel,7872
GofKmt,4208
gofMC,3632
GOFShiny,1837
goft,7615
goftest,229423
GOGANPA,4630
gogarch,29735
goldi,3706
golem,4950
gomms,3872
GoodmanKruskal,13704
goodpractice,7201
googleAnalyticsR,47519
googleAuthR,101157
googleCloudStorageR,35530
googleCloudVisionR,1713
googleComputeEngineR,13164
googledrive,145033
googleformr,4877
GoogleKnowledgeGraphR,4392
googleLanguageR,9848
googlenlp,3503
googlePolylines,27957
googlePrintr,3439
googlePublicData,4574
googler,1272
googlesheets,200943
googlesheets4,4341
googleVis,178998
googleway,28153
GOplot,11108
GORCure,4719
goric,6049
gorica,301
govdown,722
govStatJPN,5009
gower,1090768
gpairs,16291
GPareto,20181
GPArotation,185944
gPCA,4734
gpclib,24678
GPCMlasso,5493
GPCSIV,4968
gpDDE,4008
gPdtest,6387
GPFDA,5852
GPfit,37889
gpg,6851
GPGame,3924
GpGp,5919
gpk,5269
gplm,5633
gplots,1484191
GPLTR,5055
GPM,4379
gpmap,4987
GPoM,3821
GPoM.FDLyapu,1048
gppm,3560
GPrank,4195
GPRMortality,3319
gProfileR,13002
gprofiler2,6193
GPSCDF,3281
gptk,7545
gpuR,10161
GPvam,5748
gqlr,3634
gquad,4429
Grace,5371
gradDescent,6799
grade,5510
gradeR,2356
gradientPickerD3,3854
gRain,25064
grainscape,2609
gramEvol,5785
GrammR,5154
grangers,2100
granova,8863
granovaGG,5739
GRAPE,4535
grapes,3740
gRapfa,4639
graph4lg,1901
GrapheR,9635
grapherator,3760
graphframes,6607
graphicalExtremes,436
graphicalVAR,12672
graphicsQC,14533
graphkernels,4508
graphlayouts,100961
graphon,4904
GraphPCA,4158
graphql,5471
graphscan,4849
graphTweets,10617
GrassmannOptim,6457
gratia,4388
graticule,5061
grattan,9739
gravitas,536
gravity,7136
gRbase,35559
gRc,6063
GRCdata,3746
GreedyEPL,4118
GreedyExperimentalDesign,3995
GreedyExperimentalDesignJARs,3656
GreedySBTM,3665
greenclust,1484
Greg,8491
gremlin,3335
gren,3225
greport,5546
greta,9049
gretel,1189
grex,4799
greybox,111559
greyzoneSurv,4441
grf,45453
gridBase,175332
gridBezier,2522
gridDebug,5688
gridExtra,3333876
gridGeometry,1636
gridGraphics,145503
gridGraphviz,6405
gridsample,5371
gridsampler,3978
gridSVG,46016
gridtext,0
GriegSmith,6412
gRim,8627
grImport,23194
grImport2,9978
GrimR,3333
gripp,1481
grnn,9972
GROAN,3910
groc,5488
gromovlab,4298
GroupComparisons,3326
groupdata2,6461
grouped,22112
groupedstats,24766
groupedSurv,3885
groupICA,3300
groupRemMap,4676
GroupSeq,6965
groupsubsetselection,4097
GroupTest,4402
grove,3765
growfunctions,4878
growth,5008
growthcurver,7540
growthmodels,6187
growthPheno,2028
growthrate,5638
growthrates,7170
grplasso,12972
grplassocat,2833
grpreg,129230
grpregOverlap,5884
grpSLOPE,4242
grpss,4131
GrpString,4345
GRPtests,954
grr,18377
GRS.test,4951
grt,5554
GRTo,5330
GSA,20783
GSAfisherCombined,3463
GSAgm,4590
gsalib,6492
GSAQ,3874
gsarima,6609
gsbDesign,5878
gscaLCA,895
gscounts,3675
gsDesign,10694
GSE,7933
gsEasy,4324
GSED,6646
gSeg,6030
GSelection,556
gSEM,5108
gset,5141
gsg,5168
gsheet,91660
GSIF,11502
gskat,4881
gsl,207112
gsloid,3660
GSM,7131
gsmoothr,7869
GSMX,4134
GSODR,9194
GSparO,3692
gsrsb,4103
gss,300727
GSSE,4597
gstar,1794
gstat,221127
gStream,3947
gsubfn,493162
gsw,20625
GsymPoint,4729
gsynth,7500
gt4ireval,3988
gtable,5152988
gtcorr,5396
gte,5498
gTests,3856
gtfsrouter,2684
gtheory,5436
gtools,2167208
gtop,5574
gtrendsR,34344
gtsummary,4808
gtWAS,4187
gtx,6421
guardianapi,3643
GuardianR,6712
Guerry,21190
guess,3949
GuessCompx,2028
GUIDE,7851
GUIgems,3435
GUILDS,7105
GUIProfiler,5526
gumbel,8630
GUniFrac,11112
gunit,2213
gunsales,4302
gustave,3631
gutenbergr,61634
GUTS,8660
GVARX,3502
gvc,6982
gvcm.cat,5660
gvcR,3672
gvlma,47824
GWAF,5663
GWASbyCluster,1050
GWASExactHW,10744
GWASinlps,3931
GWASinspector,1927
gwdegree,4420
gwer,3031
gwerAM,5020
GWEX,3082
gwfa,3593
GWG,5149
gWidgets,77964
gWidgets2,14082
gWidgets2RGtk2,9801
gWidgets2tcltk,7160
gWidgetsRGtk2,54142
gWidgetstcltk,96822
GWLelast,5278
GWmodel,19636
gWQS,5804
gWQSRS,1474
GWRM,8498
gwrpvr,3812
gwrr,6902
GWSDAT,4528
GWsignif,5304
GxM,5055
gym,3923
gyriq,4055
h2o,221872
h2o4gpu,5052
haarfisz,5349
hablar,12877
HAC,8404
hackeRnews,323
HACSim,2624
HaDeX,2242
HadoopStreaming,6308
hagis,1945
hail,4209
halfcircle,3280
hamlet,5321
handlr,3436
HandTill2001,7849
handyplots,3486
hans,959
hansard,9125
HAP.ROR,5002
hapassoc,7597
Hapi,3193
HAPim,5510
Haplin,7093
haplo.stats,26770
haploR,7164
haploReconstruct,3397
HaploSim,10435
haplotyper,4056
haplotypes,6079
happybiRthday,3337
happytime,3440
hapsim,4343
hardhat,320
HardyWeinberg,30891
HARModel,4157
harmonicmeanp,5535
HarmonicRegression,5888
harrietr,3890
harrypotter,25288
HARtools,5880
Harvest.Tree,4251
hash,793040
hashFunction,5375
hashids,4692
hashmap,32607
hashr,4465
hasseDiagram,5301
haven,4061321
hawkes,5138
hazer,3429
hazus,4675
hBayesDM,8142
hbbr,443
HBglm,4275
hbim,5431
hbm,4602
hbmem,5408
hbsae,5823
HBSTM,4839
HBV.IANIGLA,1490
hcandersenr,3167
hcc,5015
hcci,5110
HCD,1398
hchinamap,1974
HCmodelSets,3892
hcp,4827
HCR,3377
HCT,3067
HCTR,956
hctrial,2832
hda,8588
hdbinseg,3246
hdbm,3062
HDCI,4839
HDclassif,11039
HDclust,3601
HDcpDetect,3163
hdd,579
HDDesign,4240
hddplot,6037
hddtools,5470
hdf5r,83117
hdfqlr,1930
HDGLM,4360
hdi,24181
HDInterval,33805
hdlm,5404
hdm,9949
HDMD,6067
hdme,5710
HDMT,2315
hdnom,6933
HDoutliers,25259
hdpca,4750
HDPenReg,5822
hdrcde,29927
hds,3699
HDtest,4297
HDtweedie,6393
healthcareai,6739
healthforum,986
heatex,5020
heatmap.plus,20665
heatmap3,19104
heatmapFit,5808
heatmaply,56180
heatwaveR,5363
heavy,9022
heddlr,0
hedgehog,3278
heemod,8605
heims,3672
helixvis,3910
HellCor,3709
hellno,8075
helloJavaWorld,5696
helminthR,3877
HelpersMG,9532
helsinki,4942
HEMDAG,9101
heplots,80074
here,159666
hereR,745
heritability,5340
HeritSeq,3877
hermite,8190
hero,3416
hesim,4793
het.test,11303
hetGP,5272
HETOP,1633
hett,7644
hettx,2786
heuristica,5572
heuristicsmineR,2619
hexbin,1714616
hexSticker,7942
HextractoR,4240
hextri,6694
hexView,29902
hflights,41865
hglasso,5006
hglm,7841
hglm.data,5663
hgm,4755
HGNChelper,10433
HGSL,2968
hgutils,3734
HH,62787
HHG,8395
hhh4contacts,3992
hhi,4331
hht,7295
HI,9984
HiCfeat,4034
HiClimR,10580
HiCseg,5615
hiddenf,5139
HiddenMarkov,11124
HiDimDA,6786
hier.part,10576
hierarchicalDS,4720
hierarchicalSets,4041
hierband,3897
hierDiversity,4676
HierDpart,4538
hierfstat,23023
hierNet,7669
HierO,4434
